DepartamentoCodigo	DepartamentoNombre	DistritoCodigo	DistritoNombre	basicaIncompleta	basica	media	docente	docenteNoUniversitario	docenteYUniversitario	universitario	universitarioNoDocente	tecnico	tecnicaNoUniversitariaNoDocente	militarPolicial	militarNoTecnicaNoUniversitariaNoDocente	especializacionDocente	especializacionUniversitaria	especializacionTecnica	especializacionMilitarPolicial	especializacionOPostgrado	magister	doctorado	noEspecificado	compatibleEdMedia	noCompatibleEdMedia	habilitacionPedagogica
10	ALTO PARANA                             	20	SANTA FE DEL PARANA 	0	14	14	6	6	0	7	7	1	1	0	0	0	0	0	0	0	0	0	0	13	1	13
10	ALTO PARANA                             	21	TAVAPY              	0	46	46	37	29	8	17	9	1	0	1	0	2	0	0	0	2	0	0	0	34	12	31
10	ALTO PARANA                             	22	DR. RAUL PEÐA       	0	25	25	20	17	3	8	5	0	0	0	0	2	0	0	0	2	0	0	0	24	1	21
11	CENTRAL                                 	-1		0	6493	6489	4404	2891	1513	3449	1936	345	88	0	0	182	225	0	0	479	76	25	17	5225	1285	3981
11	CENTRAL                                 	1	AREGUA              	0	279	279	232	168	64	108	44	9	2	0	0	10	4	0	0	20	6	0	0	249	30	174
11	CENTRAL                                 	2	CAPIATA             	0	856	856	541	377	164	475	311	28	3	0	0	19	16	0	0	38	4	0	1	741	116	646
11	CENTRAL                                 	3	FERNANDO DE LA MORA 	0	886	885	560	357	203	496	293	75	24	0	0	26	64	0	0	111	18	10	1	719	168	621
11	CENTRAL                                 	4	GUARAMBARE          	0	108	108	97	65	32	43	11	4	0	0	0	2	3	0	0	4	0	0	0	101	7	58
11	CENTRAL                                 	5	ITA                 	0	293	293	223	163	60	126	66	15	4	0	0	13	6	0	0	19	3	0	0	253	40	210
11	CENTRAL                                 	6	ITAUGUA             	0	326	326	220	193	27	129	102	6	2	0	0	8	8	0	0	18	1	1	2	277	51	267
11	CENTRAL                                 	7	LAMBARE             	0	486	485	309	185	124	273	149	44	16	0	0	18	37	0	0	54	3	1	5	387	104	331
11	CENTRAL                                 	8	LIMPIO              	0	405	405	323	207	116	192	76	9	3	0	0	6	4	0	0	13	3	0	0	350	55	207
11	CENTRAL                                 	9	LUQUE               	0	954	954	624	394	230	531	301	42	9	0	0	12	33	0	0	55	10	3	1	667	288	393
11	CENTRAL                                 	10	MARIANO ROQUE ALONSO	0	241	241	197	109	88	130	42	10	1	0	0	7	15	0	0	23	2	0	0	206	35	146
11	CENTRAL                                 	11	NUEVA ITALIA        	0	69	69	63	46	17	23	6	3	0	0	0	1	0	0	0	1	0	0	0	64	5	36
11	CENTRAL                                 	12	ÐEMBY               	0	559	559	429	250	179	304	125	25	3	0	0	19	14	0	0	38	3	5	0	447	112	257
11	CENTRAL                                 	13	SAN ANTONIO         	0	233	233	175	104	71	126	55	7	2	0	0	15	2	0	0	17	1	0	0	187	46	111
11	CENTRAL                                 	14	SAN LORENZO         	0	1051	1050	651	415	236	614	378	68	14	0	0	37	33	0	0	92	21	5	5	828	228	725
11	CENTRAL                                 	15	VILLA ELISA         	0	309	309	223	136	87	166	79	33	6	0	0	6	16	0	0	22	2	0	1	276	34	239
11	CENTRAL                                 	16	VILLETA             	0	173	172	139	92	47	79	32	5	1	0	0	3	2	0	0	6	0	1	0	146	27	91
11	CENTRAL                                 	17	YPACARAI            	0	172	172	121	81	40	87	47	9	2	0	0	7	1	0	0	9	1	0	3	147	28	140
11	CENTRAL                                 	18	YPANE               	0	236	236	197	123	74	111	37	4	1	0	0	9	5	0	0	14	1	0	0	209	27	110
11	CENTRAL                                 	19	J AUGUSTO SALDIVAR  	0	220	220	188	126	62	94	32	10	0	0	0	15	2	0	0	19	4	0	0	211	9	187
12	ÑEEMBUCU                                	-1		0	487	487	428	266	162	206	44	66	12	2	0	120	41	3	0	156	13	1	0	420	67	301
12	ÑEEMBUCU                                	1	PILAR               	0	233	233	193	96	97	129	32	54	8	1	0	77	36	3	0	107	10	0	0	196	37	139
12	ÑEEMBUCU                                	2	ALBERDI             	0	26	26	22	14	8	11	3	1	1	0	0	4	0	0	0	4	0	0	0	18	8	16
12	ÑEEMBUCU                                	3	CERRITO             	0	13	13	13	9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10
12	ÑEEMBUCU                                	4	DESMOCHADOS         	0	9	9	9	8	1	1	0	0	0	0	0	2	0	0	0	2	0	0	0	9	0	7
12	ÑEEMBUCU                                	5	GENERAL DIAZ        	0	22	22	21	16	5	6	1	1	0	0	0	5	1	0	0	5	0	0	0	21	1	10
12	ÑEEMBUCU                                	6	GUAZU CUA           	0	9	9	9	4	5	5	0	1	0	0	0	3	1	0	0	3	0	0	0	9	0	5
12	ÑEEMBUCU                                	7	HUMAITA             	0	20	20	18	9	9	11	2	0	0	0	0	6	1	0	0	6	0	0	0	18	2	15
12	ÑEEMBUCU                                	8	ISLA UMBU           	0	26	26	26	14	12	12	0	4	0	0	0	9	2	0	0	10	1	0	0	26	0	17
12	ÑEEMBUCU                                	9	LOS LAURELES        	0	18	18	17	8	9	10	1	1	0	1	0	2	0	0	0	2	0	0	0	17	1	14
12	ÑEEMBUCU                                	10	MAYOR MARTINEZ      	0	30	30	27	18	9	11	2	0	0	0	0	11	1	0	0	13	1	1	0	27	3	22
12	ÑEEMBUCU                                	11	PASO DE PATRIA      	0	9	9	8	8	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	8	1	7
12	ÑEEMBUCU                                	12	SAN JUAN BAUTISTA DE	0	40	40	38	30	8	9	1	2	1	0	0	7	1	0	0	8	0	0	0	38	2	26
12	ÑEEMBUCU                                	13	TACUARAS            	0	26	26	26	14	12	12	0	2	0	0	0	12	0	0	0	13	1	0	0	26	0	18
12	ÑEEMBUCU                                	14	VILLA FRANCA        	0	9	9	6	6	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3	6	1
12	ÑEEMBUCU                                	15	VILLA OLIVA         	0	23	23	22	17	5	5	0	1	0	0	0	0	0	0	0	0	0	0	0	19	4	13
12	ÑEEMBUCU                                	16	VILLALBIN           	0	25	25	22	18	4	6	2	2	1	0	0	3	1	0	0	4	0	0	0	22	3	14
13	AMAMBAY                                 	-1		0	411	411	351	217	134	187	53	22	3	2	1	116	29	0	0	138	3	0	1	367	45	283
13	AMAMBAY                                 	1	PEDRO JUAN CABALLERO	0	344	344	299	179	120	160	40	16	1	2	1	104	23	0	0	122	1	0	1	313	32	245
13	AMAMBAY                                 	2	BELLA VISTA         	0	20	20	13	10	3	9	6	1	1	0	0	1	3	0	0	4	0	0	0	16	4	10
13	AMAMBAY                                 	3	CAPITAN BADO        	0	38	38	32	22	10	16	6	3	0	0	0	9	2	0	0	10	1	0	0	32	6	22
13	AMAMBAY                                 	4	ZANJA PYTA          	0	26	26	23	19	4	6	2	2	1	0	0	8	3	0	0	9	1	0	1	22	5	22
14	CANINDEYU                               	-1		0	707	707	524	409	115	274	159	14	3	0	0	21	15	0	0	44	5	6	0	533	174	276
14	CANINDEYU                               	1	SALTOS DEL GUAIRA   	0	64	64	47	37	10	26	16	2	0	0	0	0	0	0	0	1	1	0	0	51	13	39
14	CANINDEYU                               	2	CORPUS CHRISTI      	0	31	31	28	22	6	9	3	1	0	0	0	0	1	0	0	1	0	0	0	30	1	14
14	CANINDEYU                               	3	CURUGUATY           	0	223	223	174	143	31	73	42	1	0	0	0	14	8	0	0	25	1	4	0	170	53	85
14	CANINDEYU                               	4	VILLA YGATIM?       	0	91	91	58	42	16	48	32	2	1	0	0	3	0	0	0	5	2	0	0	65	26	29
14	CANINDEYU                               	5	ITANARA             	0	8	8	7	7	0	1	1	0	0	0	0	1	1	0	0	2	0	0	0	6	2	5
14	CANINDEYU                               	6	YPE JHU             	0	15	15	10	10	0	5	5	0	0	0	0	0	1	0	0	2	0	1	0	10	5	2
14	CANINDEYU                               	7	FRANCISCO CABALLERO 	0	30	30	27	19	8	10	2	0	0	0	0	0	0	0	0	0	0	0	0	26	4	14
14	CANINDEYU                               	8	KATUETE             	0	39	39	32	26	6	12	6	0	0	0	0	0	0	0	0	0	0	0	0	32	7	13
14	CANINDEYU                               	9	LA PALOMA           	0	27	27	16	11	5	15	10	1	0	0	0	0	3	0	0	3	0	0	0	16	11	9
14	CANINDEYU                               	10	NUEVA ESPERANZA     	0	32	32	24	18	6	13	7	1	1	0	0	0	0	0	0	0	0	0	0	25	7	8
14	CANINDEYU                               	11	YASY KAÐY           	0	132	132	95	72	23	54	31	1	1	0	0	3	1	0	0	5	0	1	0	98	34	47
14	CANINDEYU                               	12	YVYRAROBANA         	0	72	72	57	45	12	22	10	6	0	0	0	1	1	0	0	2	1	0	0	58	14	27
15	PRESIDENTE HAYES                        	-1		0	473	473	374	284	90	172	82	13	5	1	1	12	2	0	1	16	1	0	0	375	98	269
15	PRESIDENTE HAYES                        	1	POZO COLORADO       	0	4	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
15	PRESIDENTE HAYES                        	2	BENJAMIN ACEVAL     	0	160	160	131	104	27	51	24	4	2	0	0	5	0	0	0	5	0	0	0	131	29	93
15	PRESIDENTE HAYES                        	3	PUERTO PINASCO      	0	11	11	11	9	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	6
15	PRESIDENTE HAYES                        	4	VILLA HAYES         	0	215	215	172	128	44	80	36	9	2	0	0	7	2	0	0	10	1	0	0	171	44	124
15	PRESIDENTE HAYES                        	5	NANAWA              	0	27	27	22	11	11	16	5	1	0	0	0	1	0	0	0	1	0	0	0	26	1	24
15	PRESIDENTE HAYES                        	6	JOSE FALCON         	0	20	20	17	15	2	5	3	0	0	0	0	0	0	0	0	0	0	0	0	15	5	13
15	PRESIDENTE HAYES                        	7	TTE 1RO MANUEL IRALA	0	48	48	26	20	6	25	19	1	1	1	1	0	0	0	1	1	0	0	0	31	17	21
15	PRESIDENTE HAYES                        	8	TTE. ESTEBAN MARTINE	0	12	12	9	7	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	10	2	6
15	PRESIDENTE HAYES                        	9	GENERAL JOSE MARIA B	0	18	18	17	13	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	14	4	11
16	BOQUERÓN                                	-1		0	224	224	148	108	40	108	68	9	4	1	0	1	4	1	0	16	9	2	0	124	100	77
16	BOQUERÓN                                	2	MARISCAL ESTIGARRIBI	0	89	89	63	43	20	44	24	2	0	1	0	0	0	0	0	2	0	2	0	46	43	25
16	BOQUERÓN                                	4	FILADELFIA          	0	17	17	12	10	2	7	5	0	0	0	0	0	1	0	0	1	0	0	0	6	11	3
16	BOQUERÓN                                	5	LOMA PLATA          	0	120	120	75	56	19	58	39	7	4	0	0	1	3	1	0	13	9	0	0	74	46	50
17	ALTO PARAGUAY                           	-1		0	67	67	47	40	7	23	16	0	0	0	0	0	1	0	0	1	0	0	0	40	27	30
17	ALTO PARAGUAY                           	1	FUERTE OLIMPO       	0	22	22	11	10	1	10	9	0	0	0	0	0	1	0	0	1	0	0	0	11	11	9
17	ALTO PARAGUAY                           	2	PUERTO CASADO       	0	18	18	14	12	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	15	3	8
17	ALTO PARAGUAY                           	4	BAHIA NEGRA         	0	7	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	4
17	ALTO PARAGUAY                           	5	CARMELO PERALTA     	0	20	20	15	11	4	7	3	0	0	0	0	0	0	0	0	0	0	0	0	10	10	9
